1.83607547686708E-09,2.46581221707711E-12
5.68277590112427E-09,2.52378293808891E-12
5.6106157960158E-07,1.38484127772199E-12
9.13714527717975E-07,1.36282471200925E-12
1.27508909076935E-06,1.15792385192708E-12
1.45218026382232E-06,1.09769073858311E-12
1.79390950132116E-06,9.22741386745371E-13
3.32721243201165E-06,8.56248847606357E-13
4.58686047817228E-06,6.60815163448413E-13
7.62325645343385E-06,6.0587076911648E-13
9.04212549092665E-06,6.98940167938698E-13
1.7264361855,9.68188678681788E-13
5.6562751824,1.61688823134299E-12
55.0719596039,1.09769073858311E-12
137.9813945903,9.81205558937168E-13
